Truite;Bruno;1234;adminbruno@vikcruise.fr;2352154512;admin;
Dolmen;Louis;5678;adminlouis@vikcruise.fr;2354784784;admin;

Pierre;Jean;1554;jeanpierre@gmail.com;55 58 14 57 87;client;
Rocher;Pierre;1551;Pieroc@viking.com;0325486574;client;
Travis;Bolt;2332;bovis@vikcruise.fr;021584684515;client;
Nors;Pode;1251;pono@vikcruise.fr;1515487;client;
Bordeaux;Tristan;5555;Tribor@vikcruise.fr;2354874745;client;
Simpsons;Marge;5959;margesimpsons@vikcruise.fr;2301541854;client;
Simpsons;Homer;4848;homersimpsons@vikcruise.fr;2348589544;client;
